,lat,lng
72405500,-2.9701675,-59.9857454305785
71691150,-15.8976498,-47.7706507
72460340,-15.913868,-47.7640174858525
72548408,,
72318102,-15.8664346,-48.0855045132907
72260856,,
72225393,-15.8039475,-48.1298031
71572205,,
72023505,,
71691030,-15.9074086,-47.7712788
70722010,-15.7820238,-47.883443
72546414,,
72130360,-15.7993376,-48.0723804
72669000,-15.94065625,-48.2259684536798
72215244,-15.832935,-48.0912103
71691020,-22.9393078,-47.0855441
72303010,,
70867530,,
72870007,-16.3484874,-48.9036366
72870004,-16.6102215,-49.3244073
72851620,-16.3692404,-48.9859015
73808195,-16.6102215,-49.3244073
72491060,-3.0796013,-59.9765336
72210120,-15.8151678,-48.1045069
72425030,-15.76598975,-47.7901393034139
72911271,-16.61736245,-51.0963716178638
72507402,,
71741803,,
71570801,-15.6453101,-47.8008186
71691151,-20.3243986,-48.3268091
72910972,,
72580300,-16.0493285,-47.9978616
72220248,-15.8378571,-48.1063091
73360505,-15.70967255,-47.8751690883054
72153500,,
75115780,-17.7459942,-48.6483161
72580500,-16.0492839,-48.0124939
72912541,-16.0742478,-48.0110552
38627000,,
72152312,-15.8126322,-48.0912768
72231616,-15.8452445,-48.115498
72650280,,
73340600,-15.6506138,-47.7991659381605
72548714,,
75110730,,
73340309,-9.5371242,-35.7821676
72231415,-15.8416562,-48.1127652
73035070,-15.64476975,-47.8065592537314
72215524,-15.8216255,-48.1070534
70876510,,
71570800,-15.64640595,-47.7972834439869
72912546,-16.0752092,-48.0078665
73062312,-15.8610862,-47.8164401
72547713,,
72302706,,
72210210,-15.8076133,-48.1048205
72301102,,
73340409,-9.5375299,-35.7819454
72241706,-15.8045959,-48.13159
71070108,,
68515000,,
70274050,-15.8257602,-47.9092333
72241315,-15.8094556,-48.1305354
71691086,-15.910316,-47.7661223
71020104,,
70335900,,
72833151,-15.7122292,-48.2936968
71585000,-15.6855482,-47.8491675
72746009,,
72915030,-16.0742478,-48.0110552
71620045,-15.8471852,-47.9069786
72620136,-15.824736,-48.086552
72125070,-15.8154401,-48.0633069
72872725,,
72460318,,
72430209,-15.615579,-47.647809
71691009,-15.5574367,-49.9412810396066
72430200,-15.6569446,-47.7942356021515
71691102,-15.7842826,-48.1384453
71805723,,
72620200,-15.9071973,-47.7774475463562
72110560,-15.82466835,-48.0578069726989
72880694,,
72871404,,
73403506,,
72814290,-15.2928114,-49.1270641
72250406,-15.7933753,-48.1204367
73751200,-17.72683,-49.4831608980231
73401309,,
72503604,,
70002900,-15.7909337,-47.8793541
71070130,,
71937540,-15.9052975,-47.7758191269494
72547506,,
72318327,,
70360768,-15.8141558,-47.913059
71720586,,
72260825,,
70847520,,
72015555,-15.83847255,-48.0545411618877
70790090,-15.7620835,-47.8951146
73850000,,
71010210,,
72871113,-16.6572697,-49.5173848
72220101,-15.8381808,-48.0984521
72860121,-16.7569885,-49.1355884
72225273,,
71505015,-15.7167074,-47.8763635
72250205,-15.7966569,-48.1181154
73355012,,
72610614,,
72546506,,
72975000,,
72929899,,
38350000,,
73062109,-15.8856975,-48.0182388566672
72630350,,
71995295,,
72503407,,
73808228,-16.6102215,-49.3244073
72880578,,
29705092,,
29170820,-20.3357454,-40.3934026
29645000,,
39860000,,
29960000,,
29122220,-19.3742003,-40.0633941
29930010,-18.7166558,-39.8558799
29300970,-20.84876215,-41.1126967396038
29750000,,
29490000,,
29330000,,
29900473,,
29162130,-20.1850631,-40.2706407
29900151,,
29179260,-20.1133366,-40.2826704
29560000,,
29314101,,
29315814,-20.8399634,-41.1799462
29167566,-20.141561,-40.2509281
29101670,-20.3505249,-40.2900821
36900000,,
29065420,-20.2788029,-40.2985068
29075088,-20.2696743,-40.3025451
29615000,,
29704370,-19.5246755,-40.669997
29192086,-19.9231373,-40.1195112
29650000,,
29118113,-19.4020423,-40.0423229
29305015,,
29070095,-20.2696895,-40.2924809
29200480,,
29780000,,
29950000,,
29314140,-20.8333913,-41.1823549
29102588,-20.3760561,-40.3149882
29172697,-20.4397517,-40.341002
29600000,,
29046590,-20.2882681,-40.3101356
29112461,-20.3651407,-40.359508
29800000,,
29106670,-20.2244272,-40.2114365
29460000,,
29122280,-20.3378331,-40.3062838
29118480,-19.399062,-40.0327855
29615970,-19.9010636,-41.0560334
29020480,-20.3213864,-40.3487002
29164302,-18.7178005,-39.8914835
29119302,-20.2660318,-40.4300952
29135000,,
29177174,,
29106270,-20.3472691,-40.3050165
29157769,-20.2267442,-40.2771664
29280000,,
29018180,-20.3212643,-40.3437018
29730000,,
29161716,-20.2371695,-40.2862731
29850000,,
