,bairro,cep,cidade,complemento2,end,uf,unidadesPostagem
44230000,,44230000,Amélia Rodrigues,,,BA,[]
41213360,Sussuarana,41213360,Salvador,,Rua Júlia Damiana,BA,[]
41295270,Pirajá,41295270,Salvador,,Rua da Inconfidência,BA,[]
41300000,Valéria,41300000,Salvador,,Rua Afonso Temporal,BA,[]
48450970,Centro,48450970,Cipó,,Rua Dom Pedro II 21,BA,[]
56312310,São Gonçalo,56312310,Petrolina,,Rua Demétrio Francisco de Carvalho,PE,[]
46109970,Centro,46109970,Brumado,,Rua Povoado do Presidente Vargas s/n,BA,[]
41370170,Jardim Nova Esperança,41370170,Salvador,,Travessa Simone Barradas,BA,[]
40415110,Bonfim,40415110,Salvador,,Avenida Salvador,BA,[]
48565970,Centro,48565970,Sítio do Quinto,,Rua Eutimio Pedro de Santana 121,BA,[]
44645000,,44645000,Capela do Alto Alegre,,,BA,[]
41505295,Cassange,41505295,Salvador,,Rua Fazenda Cassange,BA,[]
40730620,Fazenda Coutos,40730620,Salvador,,Rua Eixo,BA,[]
46250000,,46250000,Presidente Jânio Quadros,,,BA,[]
48602580,Centro,48602580,Paulo Afonso,,Rua José Firmino Lins,BA,[]
40252150,Cosme de Farias,40252150,Salvador,,Avenida Joventino,BA,[]
44096644,Aviário,44096644,Feira de Santana,,Rua Santo Antônio,BA,[]
41218016,Novo Horizonte,41218016,Salvador,,Rua Santo Antônio do Novo Horizonte,BA,[]
40720550,Periperi,40720550,Salvador,,Rua Rosalvo Barbosa Romeu,BA,[]
45460970,Centro,45460970,Wenceslau Guimarães,,Rua Otaviano Santos Lisboa 259,BA,[]
44900000,,44900000,Irecê,,,BA,[]
41343265,Boca da Mata,41343265,Salvador,(Faz Grande III),Acesso Local 4-Setor C,BA,[]
46400970,Centro,46400970,Caetité,,Praça Doutor Deocleciano Teixeira 07,BA,[]
40391200,São Caetano,40391200,Salvador,,Avenida Nestor Duarte,BA,[]
41100116,Pernambués,41100116,Salvador,,1ª Travessa do Hipódromo,BA,[]
